年份,报名人数(万),硕士实际录取人数(万),普通本科毕业生数(万),读研比例(%),16-24岁青年失业率(%),本科毕业半年月薪(元),受雇工作比例(%),招录计划人数(万),报名过审人数(万),报录比(X:1),硕士总招生(万),学术硕士招生(万),专业硕士招生(万),专硕占比(%),政策哑变量(2020后=1),"推免保研人数(万,估算)",CPI(上年=100),累计平减指数(2010=1),"实际月薪(2010年不变价,元)"
2010,140.6,47.2,259.05,18.22,,2815,82.6,1.5526,144.3,92.9,47.2,36.2,11.0,23.3,0,4.72,103.3,1.0,2815.0
2011,151.1,47.44,279.62,16.97,,3051,82.1,1.529,141.5,92.5,47.44,32.31,15.13,31.9,0,4.84,105.4,1.054,2895.0
2012,165.6,49.46,303.85,16.28,,3366,81.2,1.7941,130.0,72.5,49.46,31.21,18.25,36.9,0,5.19,102.6,1.081404,3113.0
2013,176.0,52.13,319.97,16.29,,3560,80.4,2.0879,138.3,66.2,52.13,30.76,21.37,41.0,0,5.63,102.6,1.109520504,3209.0
2014,172.0,54.09,341.38,15.84,,3773,79.2,1.9538,140.4,71.9,54.09,30.24,23.85,44.1,0,5.95,102.0,1.1317109140800001,3334.0
2015,164.9,54.87,358.594,15.3,,4042,77.8,2.2,141.0,64.1,54.87,29.68,25.19,45.9,0,6.15,101.4,1.14755486687712,3522.0
2016,177.0,57.06,374.368,15.24,,4376,77.3,2.7016,139.46,51.6,57.06,29.67,27.39,48.0,0,6.56,102.0,1.1705059642146625,3739.0
2017,201.0,58.98,384.184,15.35,,4774,75.9,2.7061,148.6,54.9,58.98,29.49,29.49,50.0,0,7.37,101.6,1.1892340596420972,4014.0
2018,238.0,72.22,386.836,18.67,10.8,5135,74.3,2.8533,165.97,58.2,72.22,33.29,38.93,53.9,0,9.24,102.1,1.214207974894581,4229.0
2019,290.0,76.25,394.716,19.32,11.9,5440,71.9,1.4537,137.93,94.9,76.25,31.64,44.61,58.5,0,9.91,102.9,1.2494200061665242,4354.0
2020,341.0,81.13,420.51,19.29,14.2,5471,69.7,2.4128,143.7,59.6,81.13,30.5,50.63,62.4,1,10.95,102.5,1.2806555063206873,4272.0
2021,377.0,99.05,428.097,23.14,14.3,5833,66.8,2.5726,157.6,61.3,99.05,35.66,63.39,64.0,1,13.67,100.9,1.2921814058775736,4514.0
2022,457.0,105.07,471.566,22.28,17.6,5990,64.3,3.12,212.3,68.0,105.07,35.72,69.35,66.0,1,14.71,102.0,1.3180250339951252,4545.0
2023,474.0,114.84,489.742,23.45,,6050,59.3,3.71,259.7,70.0,114.84,38.24,76.6,66.7,1,16.08,100.2,1.3206610840631154,4581.0
2024,438.0,118.57,511.958,23.16,15.23,6199,60.5,3.96,303.3,76.6,118.57,39.48,79.09,66.7,1,16.84,100.2,1.3233024062312417,4684.0
